time,league,match,minute,score,pick,prob,odds,fixture_id,details,market
2025-11-09 05:43:07,Australia A-League,Sydney – Macarthur,43,0:0,Over 0.5 (live),66.1,,1469581,"{'xg_sum': None, 'shots_sum': 10.0}",OVER
2025-11-09 05:48:12,Japan J1 League,Sanfrecce Hiroshima – Urawa,45,0:0,Over 0.5 (live),65.9,,1324311,"{'xg_sum': None, 'shots_sum': 10.0}",OVER
2025-11-09 06:22:34,Japan J1 League,Sanfrecce Hiroshima – Urawa,63,1:0,Over 1.5 (live),65.9,,1324311,"{'xg_sum': None, 'shots_sum': 11.0}",OVER
2025-11-09 06:41:57,Japan J1 League,Kyoto Sanga – Yokohama F. Marinos,38,0:1,BTTS Yes,66.5,,1324309,"{'sot_home': 2.0, 'sot_away': 2.0, 'xg_home': None, 'xg_away': None}",BTTS
2025-11-09 06:47:01,Japan J1 League,Machida Zelvia – FC Tokyo,43,0:0,Over 0.5 (live),66.1,,1324305,"{'xg_sum': None, 'shots_sum': 8.0}",OVER
2025-11-09 06:52:07,Australia A-League,Sydney – Macarthur,90,2:0,BTTS Yes,62.8,,1469581,"{'sot_home': 6.0, 'sot_away': 3.0, 'xg_home': None, 'xg_away': None}",BTTS
2025-11-09 06:52:07,Japan J1 League,Kyoto Sanga – Yokohama F. Marinos,45,0:1,Over 1.5 (live),67.3,,1324309,"{'xg_sum': None, 'shots_sum': 7.0}",OVER
